33,618300
203,156300
234,108900
376,104400
505,469300
677,702600
753,9600
764,369900
804,301100
1331,91100
1382,369600
1545,88200
1569,404200
1933,614000
1945,201400
2003,50800
2010,572400
2044,376000
2124,755100
2143,712600
2285,303900
2327,415900
2363,339900
2419,233200
2669,157000
2750,321700
2827,368900
2831,547000
2833,93000
2847,684600
2900,344200
3081,499700
3211,506700
3347,41300
3458,68800
3514,195600
3793,72100
3843,308000
3848,225500
3895,132700
4030,142700
4077,61800
4158,660300
4259,698500
4290,313400
4311,490300
4347,408400
4350,760800
4543,731600
4547,1000
4604,626900
4677,201600
4711,228000
4918,233900
4976,454100
5006,484000
5017,369300
5167,80800
5179,266500
5286,543700
5288,199700
5297,664300
5387,299600
5588,484300
5615,564500
5671,739600
5807,525500
5912,138400
6070,369200
6149,411300
6267,234000
6377,199600
6426,816300
6461,606000
6607,541500
6773,508700
6840,716300
6929,681900
7184,752700
7190,220100
7552,441300
7558,763900
7611,341400
7805,410900
8049,48400
8206,554300
8298,77600
8395,50600
8627,97400
8663,11100
8865,277100
9069,420900
9085,772300
9194,664100
9284,135500
9309,454900
9333,523900
9554,765300
9622,110500
9703,707500
9928,416500
10087,399100
10156,129200
10170,147600
10171,241500
10201,690200
10364,235800
10444,712100
10496,372500
10508,474200
10764,286000
10791,178300
10814,770600
10922,501600
10998,134300
11089,494600
11149,613900
11195,415400
11269,144100
11416,532200
11530,673500
11626,461500
11735,240200
11904,269400
11931,424700
12153,328800
12234,714400
12238,172100
12482,616400
12488,761100
12499,69700
12550,399600
12577,192600
12583,375300
12667,156200
12686,12200
12748,393500
12839,241200
12968,26300
13002,125600
13006,670300
13062,270300
13092,8100
13382,514800
13493,750200
13585,548000
13693,67300
13760,703000
13766,412700
13785,777600
13820,189900
13998,751400
14216,430600
14246,405000
14271,494000
14323,624600
14382,307400
14585,660900
14670,749300
14776,491100
14928,94800
15025,655100
15049,273300
15113,76200
15250,651600
15256,735400
15445,452600
15557,5800
15597,442100
15603,626000
16010,106200
16055,553000
16158,534900
16161,655200
16219,593500
16224,63900
16307,21200
16337,365600
16474,467400
16890,560300
16971,64400
16976,210300
16990,257000
17006,255200
17027,408000
17034,774900
17092,434300
17186,730600
17218,467500
17486,443600
17551,89200
17619,252300
17657,276300
17770,382900
17816,229100
17933,66500
17950,154800
18025,391200
18038,754400
18200,606600
18225,339400
18269,352200
18284,745600
18387,85300
18443,475800
18501,427700
18691,107300
18749,508600
18763,799000
18792,550500
18913,738600
18930,434800
18934,80400
19197,615600
19300,87800
19340,603000
19376,420700
19444,81100
19450,762400
19453,557300
19535,140100
19959,745100
19975,547800
20098,263100
20314,596400
20368,133100
20429,254200
20441,404500
20465,435200
20496,678800
20692,661400
20827,716800
20868,243700
21069,143800
21187,307300
21254,134500
21260,411800
21288,78500
21326,795900
21380,390800
21388,351400
21595,337300
21777,786000
